len_payload,num_special_chars,has_http,num_script_tags,num_iframe_tags,num_img_tags,num_svg_tags,num_body_tags,has_javascript_protocol,has_alert,has_onerror,has_onload,has_onmouseover,has_onclick,has_eval,Label
98,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
186,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
75,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
51,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
66,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
57,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
54,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
52,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
175,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
102,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
48,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
51,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
105,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
46,8,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0
107,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
41,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
94,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
48,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
68,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
46,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
41,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
42,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
93,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
59,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
38,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
95,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
516,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
38,8,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0
125,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
49,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
592,38,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
83,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
60,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
